T,d,method,method_label,rank,seed_index,seed,status,binary_objective,continuous_objective,relaxed_objective,solve_seconds,rounding_seconds,total_seconds,iterations,best_iteration,grad_norm,converged,round_restarts,maxrss_mb
20,42,sign_iteration,Sign-Iteration,,1,10201001,ok,57.37550777483765,,,0.253249709,0.0,0.253249709,10,9,,,,430.921875
20,42,sign_iteration,Sign-Iteration,,2,10202001,ok,57.37550777483765,,,2.3166e-5,0.0,2.3166e-5,10,9,,,,435.125
20,42,box_pgd,Box-PGA,,1,20201001,ok,42.9762950978923,42.9762950978923,42.9762950978923,9.225e-5,0.0,9.225e-5,38,38,2.2799798661505086,true,,435.171875
20,42,box_pgd,Box-PGA,,2,20202001,ok,50.16933551383503,50.16933551383503,50.16933551383503,6.4708e-5,0.0,6.4708e-5,66,66,2.533694251750477,true,,435.203125
20,42,low_rank,LR-SDP r=2,2,1,30201003,converged,57.37550777483765,57.36208227838746,57.36208227838746,0.245142958,1.2875e-5,0.245155833,135,135,1.9559442819413886,true,3,436.21875
20,42,low_rank,LR-SDP r=2,2,2,30202003,converged,57.37550777483765,57.361709179804016,57.361709179804016,0.000320542,5.0e-6,0.000325542,118,118,1.9559306507939158,true,3,436.21875
20,42,sdp_gw,SDP+GW,,1,40201001,solved,57.37550777483765,57.3754965141625,57.3754965141625,2.279590875,0.098991167,2.3785820419999997,,,,true,3,495.734375
