T,method,rank,runs,max_value_mean,max_value_std,time_seconds_mean,time_seconds_std,peak_memory_mb_mean,peak_memory_mb_std
200,SDP+GW,,8,245.57196007239105,0.8747166357097892,1.169820302125,0.02608460142641999,559.8203125,4.538394921095059
200,Sign-Iteration,,8,43.101898162873596,13.83808601641491,0.128573630375,0.003719634019463053,447.072265625,4.48227798701129
200,Box-PGA,,8,278.1312714825618,3.054419312416801,0.031791896,0.002296680776006353,448.48046875,2.778298368566052
200,LR-SDP r=2,2,8,258.61681961508134,2.3394436636152216,0.23214910924999999,0.011012150283200907,451.091796875,1.9966391526690501
200,LR-SDP r=4,4,8,258.6832710258957,3.450055857118441,0.18467735437500002,0.006603811844048363,451.962890625,3.456117779334451
200,LR-SDP r=6,6,8,259.30093197076917,2.0003205950241183,0.17885625524999998,0.0038661427058214225,451.94140625,2.397723035162363
200,LR-SDP r=8,8,8,262.0661968742838,2.86564561222629,0.1118882605,0.0017402182745872518,449.3203125,2.989576852075271
400,SDP+GW,,8,489.27768121428124,1.200174142550598,2.3589060936249995,0.03055368957279268,831.69921875,8.803510446262637
400,Sign-Iteration,,8,65.5506520118682,22.421223917183013,0.455928989625,0.029755053512003013,467.005859375,5.606535527223969
400,Box-PGA,,8,552.8077356350362,5.187369399501898,0.12171350012500001,0.01841383113103813,465.162109375,2.615882037155014
400,LR-SDP r=2,2,8,509.5060505689378,4.828420883859912,0.40173756225,0.010377830010342403,471.072265625,5.334643566315532
400,LR-SDP r=4,4,8,510.6378477491681,1.7564095238957103,0.2522780155,0.028535893262046075,470.90234375,5.09348809306953
400,LR-SDP r=6,6,8,513.8665014827963,4.600764868260394,0.31531738025000006,0.0373369512458055,471.41796875,4.746817763338742
400,LR-SDP r=8,8,8,515.0966780876098,3.226632971390118,0.21855874987500004,0.004322056101838184,470.001953125,5.269292766034667
600,SDP+GW,,8,733.062428324687,1.0113943781687367,4.9292837085,0.13990416995203944,1140.166015625,17.84284683396531
600,Sign-Iteration,,8,68.75075440381497,14.429628674333584,0.78066533325,0.09835980918733772,495.11328125,2.7852317755488114
600,Box-PGA,,8,820.3547861478868,4.537247454363189,0.207227801875,0.028518947726597636,497.8203125,5.502573971560945
600,LR-SDP r=2,2,8,765.64040321492,3.893778496894567,0.481405427,0.01703175312693088,501.92578125,1.9469231893256416
600,LR-SDP r=4,4,8,761.3269064146399,7.210579840784105,0.4472589946250001,0.006045391085790206,500.328125,2.8876613668577655
600,LR-SDP r=6,6,8,761.5602744838084,1.7164622986999822,0.618228572875,0.08313123346563703,499.853515625,3.8518347167277103
600,LR-SDP r=8,8,8,762.9063231614693,5.383169229898572,0.4631675155,0.035622069339868945,500.087890625,2.898017062546435
800,SDP+GW,,8,975.5471525572614,1.0929001520673975,9.48431715125,0.1265420536368825,1486.671875,28.7018436460628
800,Sign-Iteration,,8,84.56390135332494,38.795031225219205,1.308874853875,0.05732148245080888,539.6875,2.8767221162164014
800,Box-PGA,,8,1094.7686838325878,7.391369603350522,0.380337739625,0.03265666350896335,542.794921875,4.060485742921773
800,LR-SDP r=2,2,8,1025.1826554556403,6.602442316646227,0.897093005125,0.06164885562417549,544.107421875,4.539082189685596
800,LR-SDP r=4,4,8,1013.7403229100998,9.85913314151142,0.8164786977499999,0.058555601549586826,547.494140625,4.49277024558698
800,LR-SDP r=6,6,8,1014.658356361168,2.6612114471674473,1.0504697606250002,0.05306206456282821,546.681640625,1.8930297114837547
800,LR-SDP r=8,8,8,1016.2645147872664,4.793793247620835,0.7575774791250001,0.03867147979709358,548.595703125,2.3413296654677986
1000,SDP+GW,,8,1218.1787993858404,0.32844757626524423,18.4303647395,0.1562699814360543,1918.056640625,63.59714141618308
1000,Sign-Iteration,,8,84.30508368121929,25.046322399759642,2.0184214478749998,0.10542103738843336,597.7578125,3.282790879696943
1000,Box-PGA,,8,1365.8015683142794,3.5659964502302985,0.531724578125,0.055858357802586384,597.822265625,2.597095216670564
1000,LR-SDP r=2,2,8,1270.5135507886669,10.260932108523553,1.4850512081249998,0.07707372073743521,601.609375,3.3788523813831484
1000,LR-SDP r=4,4,8,1262.5183627465908,7.723800522929625,1.3571301249999999,0.0563171907137264,600.810546875,2.4388937965015693
1000,LR-SDP r=6,6,8,1267.5780830993779,9.863856257665415,1.6728136875,0.0586475721816048,601.439453125,3.7783105227033658
1000,LR-SDP r=8,8,8,1263.5992415615788,5.758168743370055,1.20781970825,0.03458374786647578,599.802734375,3.954196261363578
1200,SDP+GW,,8,1463.5755703937527,1.2230651554662826,31.111930161375,0.3147895422970446,2474.751953125,8.578754927023809
1200,Sign-Iteration,,8,102.56445372930276,35.63871252214661,3.444845489625,0.12575432564014305,666.44140625,3.5583931332622893
1200,Box-PGA,,8,1631.8746581407202,6.0730532171205915,0.873434119875,0.09057841832392476,662.982421875,2.363184860047283
1200,LR-SDP r=2,2,8,1525.3805614458865,5.59125357651468,2.4154433801250006,0.08153109726061458,666.982421875,3.8689598436843995
1200,LR-SDP r=4,4,8,1508.3132998402502,6.818717188498288,2.16245211975,0.0675214100303048,668.55859375,4.302376753728895
1200,LR-SDP r=6,6,8,1514.8407051382567,6.088260465563427,2.53312180725,0.07644480864805529,669.060546875,1.876514223017046
1200,LR-SDP r=8,8,8,1516.075854601451,7.01935479156176,1.8607150728750004,0.05446249220306584,668.548828125,4.2650848158422505
1400,SDP+GW,,8,1705.2736261031982,1.7960744723312159,50.369612812375,0.5904190513975172,2671.087890625,21.81068341017579
1400,Sign-Iteration,,8,95.77718756710382,22.001217507204714,4.992392849,0.1311927580791665,745.09765625,4.69365481344895
1400,Box-PGA,,8,1900.120400379959,5.3168734801601865,1.30331066675,0.07821494614221686,744.158203125,1.3435536998437536
1400,LR-SDP r=2,2,8,1780.4678212550034,7.853910032931275,3.88411809875,0.7015517497594987,746.609375,4.66688921131778
1400,LR-SDP r=4,4,8,1761.4755144180876,4.776509404768746,3.1933714322499998,0.19681842735623167,747.998046875,3.4700713126533227
1400,LR-SDP r=6,6,8,1766.1269883813313,8.981973335983149,3.5940088334999998,0.20523625464389994,748.9453125,3.1867011428916805
1400,LR-SDP r=8,8,8,1768.9633920712793,8.191546753490872,2.6162273435,0.04452701024577188,746.576171875,2.756972156721077
1600,SDP+GW,,8,1948.355628677404,1.4563992827954906,77.898853562375,0.6151531845381106,3346.240234375,13.16104197145023
1600,Sign-Iteration,,8,109.29786184749865,32.29186371272747,6.103025098875,0.24750107905516772,835.927734375,3.07925148780794
1600,Box-PGA,,8,2174.0755064758796,10.754134643145985,1.569742682125,0.0688362922795321,836.87109375,3.438958193151099
1600,LR-SDP r=2,2,8,2036.7692117071988,12.43303220560331,4.669938354,0.1789752313525445,838.259765625,4.203460534104555
1600,LR-SDP r=4,4,8,2010.092914673443,6.736549522525934,4.358214916624999,0.2919671070045468,841.30078125,2.1407268289127375
1600,LR-SDP r=6,6,8,2016.125732757204,7.992708834887777,4.83642131775,0.19385797760263082,841.04296875,3.2436488208483776
1600,LR-SDP r=8,8,8,2012.7139788476989,8.442293510726037,3.54104331275,0.1765494339702852,840.1875,4.420174931897088
1800,SDP+GW,,8,2192.0983630536366,2.2905519994132773,117.45473895825,0.6990513799876755,3869.26171875,33.96339176715484
1800,Sign-Iteration,,8,112.81288482170524,41.11905582432934,8.294388182125,0.09698117259644506,940.75390625,1.3841706657488602
1800,Box-PGA,,8,2440.672595359487,8.212431056873204,2.203980599,0.04048035618522209,942.16796875,1.9595830730827668
1800,LR-SDP r=2,2,8,2278.959495056487,5.155969300143442,6.432078156375,0.20391504492713167,946.623046875,1.5237250758794512
1800,LR-SDP r=4,4,8,2257.4688186095805,7.750993886994923,5.17008070325,0.3671378973842495,943.833984375,1.9808291840583858
1800,LR-SDP r=6,6,8,2260.3715716348943,9.552842297400474,6.063973942875,0.404323857745772,946.462890625,4.287631595979998
